"date","new_cases","hosp_patients","icu_patients","location"
"06-04-2021",132364,NULL,NULL,"India"
"06-05-2021",120529,NULL,NULL,"India"
"06-06-2021",114460,NULL,NULL,"India"
"06-07-2021",100636,NULL,NULL,"India"
"06-08-2021",86498,NULL,NULL,"India"
"06-09-2021",92596,NULL,NULL,"India"
"06-10-2021",94052,NULL,NULL,"India"
"06-11-2021",91702,NULL,NULL,"India"
"06-12-2021",84332,NULL,NULL,"India"
"13-06-2021",80834,NULL,NULL,"India"
"14-06-2021",70421,NULL,NULL,"India"
"15-06-2021",60471,NULL,NULL,"India"
"16-06-2021",62224,NULL,NULL,"India"
"17-06-2021",67208,NULL,NULL,"India"
"18-06-2021",62480,NULL,NULL,"India"
"19-06-2021",60753,NULL,NULL,"India"
"20-06-2021",58419,NULL,NULL,"India"
"21-06-2021",53256,NULL,NULL,"India"
"22-06-2021",42640,NULL,NULL,"India"
"23-06-2021",50848,NULL,NULL,"India"
"24-06-2021",54069,NULL,NULL,"India"
"25-06-2021",51667,NULL,NULL,"India"
"26-06-2021",48698,NULL,NULL,"India"
"27-06-2021",50040,NULL,NULL,"India"
"28-06-2021",46148,NULL,NULL,"India"
"29-06-2021",37566,NULL,NULL,"India"
"30-06-2021",45951,NULL,NULL,"India"
"07-01-2021",48786,NULL,NULL,"India"
"07-02-2021",46617,NULL,NULL,"India"
"07-03-2021",44111,NULL,NULL,"India"
"07-04-2021",43071,NULL,NULL,"India"
"07-05-2021",39796,NULL,NULL,"India"
"07-06-2021",34703,NULL,NULL,"India"
"07-07-2021",43733,NULL,NULL,"India"
"07-08-2021",45892,NULL,NULL,"India"
"07-09-2021",43393,NULL,NULL,"India"
"07-10-2021",42766,NULL,NULL,"India"
"07-11-2021",41506,NULL,NULL,"India"
"07-12-2021",37154,NULL,NULL,"India"
"13-07-2021",32906,NULL,NULL,"India"
"14-07-2021",38792,NULL,NULL,"India"
"15-07-2021",41806,NULL,NULL,"India"
"16-07-2021",38949,NULL,NULL,"India"
"17-07-2021",38079,NULL,NULL,"India"
"18-07-2021",41157,NULL,NULL,"India"
"19-07-2021",38164,NULL,NULL,"India"
